epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2206.95,0.2425,0.49053,0.78645,0.97547,0.99918,0.995,0.99012,0.17549,0.41113,0.76032,9.39893e-05,9.39893e-05,9.39893e-05
60,2244.05,0.24701,0.48877,0.77429,0.97755,0.9951,0.995,0.99022,0.17135,0.4145,0.75968,8.98684e-05,8.98684e-05,8.98684e-05
61,2280.7,0.24522,0.47925,0.79137,0.97791,0.99393,0.995,0.99114,0.17276,0.41678,0.75951,8.57475e-05,8.57475e-05,8.57475e-05
62,2316.83,0.24784,0.50152,0.78373,0.97786,0.99201,0.995,0.99183,0.17384,0.41696,0.75965,8.16266e-05,8.16266e-05,8.16266e-05
63,2352.88,0.24413,0.48638,0.78139,0.97672,0.99149,0.995,0.99413,0.16113,0.41143,0.75882,7.75057e-05,7.75057e-05,7.75057e-05
64,2389.68,0.24451,0.46551,0.7773,0.97591,0.99105,0.995,0.99215,0.16373,0.40813,0.75906,7.33849e-05,7.33849e-05,7.33849e-05
65,2426.62,0.24146,0.4714,0.77839,0.97667,0.99138,0.995,0.992,0.16083,0.40528,0.75904,6.9264e-05,6.9264e-05,6.9264e-05
66,2462.05,0.23964,0.48077,0.78348,0.97921,0.99265,0.995,0.99153,0.16332,0.39717,0.75923,6.51431e-05,6.51431e-05,6.51431e-05
67,2498.33,0.24531,0.48536,0.78034,0.98048,0.99282,0.995,0.99281,0.16342,0.39188,0.7595,6.10223e-05,6.10223e-05,6.10223e-05
68,2534.63,0.24624,0.46169,0.78028,0.98172,0.99273,0.995,0.99222,0.16276,0.38605,0.75908,5.69014e-05,5.69014e-05,5.69014e-05
69,2570.98,0.24087,0.46662,0.78526,0.9827,0.99312,0.995,0.99222,0.16079,0.38403,0.75867,5.27805e-05,5.27805e-05,5.27805e-05
70,2607.35,0.24541,0.4876,0.78417,0.98311,0.99273,0.995,0.99228,0.15987,0.38188,0.75864,4.86596e-05,4.86596e-05,4.86596e-05
71,2641.86,0.23638,0.45236,0.78264,0.98382,0.9937,0.995,0.99237,0.16201,0.37278,0.75823,4.45388e-05,4.45388e-05,4.45388e-05
72,2675.72,0.26498,0.46714,0.77752,0.98285,0.99436,0.995,0.99275,0.16784,0.37478,0.75758,4.04179e-05,4.04179e-05,4.04179e-05
73,2709.79,0.23351,0.43915,0.79094,0.98222,0.99391,0.995,0.99075,0.17047,0.3802,0.75754,3.6297e-05,3.6297e-05,3.6297e-05
74,2744.01,0.22824,0.45614,0.78214,0.97928,0.99312,0.995,0.99166,0.17343,0.39276,0.75743,3.21761e-05,3.21761e-05,3.21761e-05
75,2778.26,0.23198,0.43137,0.78247,0.97508,0.99262,0.995,0.9914,0.17721,0.40606,0.75726,2.80552e-05,2.80552e-05,2.80552e-05
76,2812.7,0.23049,0.43189,0.77561,0.97216,0.99263,0.995,0.99236,0.17197,0.41391,0.75709,2.39344e-05,2.39344e-05,2.39344e-05
77,2847.28,0.23073,0.47739,0.78994,0.9709,0.99257,0.995,0.99155,0.16945,0.41565,0.75712,1.98135e-05,1.98135e-05,1.98135e-05
78,2882.13,0.22505,0.45055,0.78125,0.97082,0.99255,0.995,0.98987,0.16605,0.41152,0.75715,1.56926e-05,1.56926e-05,1.56926e-05
